[20:14:29] [INFO] received Windows console close event; shutting log-core down
[20:17:25] [INFO] received Windows console close event; shutting log-core down
[20:17:25] [INFO] received Windows console close event; shutting log-core down
[20:23:38] [INFO] received Windows console close event; shutting log-core down
[20:36:33] [INFO] received Windows console close event; shutting log-core down
[20:53:10] [INFO] received Windows console close event; shutting log-core down
[20:53:10] [INFO] received Windows console close event; shutting log-core down
[21:05:24] [INFO] received Windows console close event; shutting log-core down
[21:06:10] [INFO] received Windows console close event; shutting log-core down
[00:41:21] [INFO] received Windows console close event; shutting log-core down
[00:43:09] [INFO] received Windows console close event; shutting log-core down
[00:45:17] [INFO] received Windows console close event; shutting log-core down
[00:49:15] [INFO] received Windows console close event; shutting log-core down
[00:50:10] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:07:59] [INFO] received Windows console close event; shutting log-core down
[01:09:28] [INFO] received Windows console close event; shutting log-core down
[01:12:17] [INFO] received Windows console close event; shutting log-core down
[01:16:21] [INFO] received Windows console close event; shutting log-core down
[01:17:27] [INFO] received Windows console close event; shutting log-core down
[01:20:07] [INFO] received Windows console close event; shutting log-core down
[11:12:19] [INFO] received Windows console close event; shutting log-core down
[11:33:20] [INFO] received Windows console close event; shutting log-core down
[11:33:40] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11:34:00] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11:35:16] [ERROR] exception 0X80000003 (BREAKPOINT) from Vectored Exception Handler catched; shutting log-core down
[11:37:10] [ERROR] exception 0X80000003 (BREAKPOINT) from Vectored Exception Handler catched; shutting log-core down
[11:41:26] [INFO] received Windows console close event; shutting log-core down
[11:43:28] [INFO] received Windows console close event; shutting log-core down
[11:45:03] [INFO] received Windows console close event; shutting log-core down
[11:59:57] [INFO] received Windows console close event; shutting log-core down
[12:01:28] [ERROR] exception 0X80000003 (BREAKPOINT) from Vectored Exception Handler catched; shutting log-core down
[12:05:18] [INFO] received Windows console close event; shutting log-core down
[12:11:17] [INFO] received Windows console close event; shutting log-core down
[12:13:50] [INFO] received Windows console close event; shutting log-core down
[12:17:12] [INFO] received Windows console close event; shutting log-core down
[12:27:01] [INFO] received Windows console close event; shutting log-core down
[12:29:50] [INFO] received Windows console close event; shutting log-core down
[12:30:18] [INFO] received Windows console close event; shutting log-core down
[12:33:45] [INFO] received Windows console close event; shutting log-core down
[12:39:09] [INFO] received Windows console close event; shutting log-core down
[13:56:45] [INFO] received Windows console close event; shutting log-core down
[14:11:56] [INFO] received Windows console close event; shutting log-core down
[14:14:27] [INFO] received Windows console close event; shutting log-core down
[14:16:21] [INFO] received Windows console close event; shutting log-core down
[15:23:26] [INFO] received Windows console close event; shutting log-core down
[15:28:17] [INFO] received Windows console close event; shutting log-core down
[15:32:29] [INFO] received Windows console close event; shutting log-core down
[15:37:34] [INFO] received Windows console close event; shutting log-core down
[15:37:53] [INFO] received Windows console close event; shutting log-core down
[15:40:23] [INFO] received Windows console close event; shutting log-core down
[16:56:50] [INFO] received Windows console close event; shutting log-core down
[17:48:17] [INFO] received Windows console close event; shutting log-core down
[17:51:00] [INFO] received Windows console close event; shutting log-core down
[20:12:51] [INFO] received Windows console close event; shutting log-core down
[21:24:51] [INFO] received Windows console close event; shutting log-core down
[21:30:16] [INFO] received Windows console close event; shutting log-core down
[21:35:42] [INFO] received Windows console close event; shutting log-core down
[21:37:33] [INFO] received Windows console close event; shutting log-core down
[21:41:20] [INFO] received Windows console close event; shutting log-core down
[21:42:58] [INFO] received Windows console close event; shutting log-core down
[21:44:49] [INFO] received Windows console close event; shutting log-core down
[22:01:34] [INFO] received Windows console close event; shutting log-core down
[23:40:11] [INFO] received Windows console close event; shutting log-core down
[23:40:36] [INFO] received Windows console close event; shutting log-core down
[23:44:46] [INFO] received Windows console close event; shutting log-core down
[23:46:41] [INFO] received Windows console close event; shutting log-core down
[23:53:22] [INFO] received Windows console close event; shutting log-core down
[23:56:23] [INFO] received Windows console close event; shutting log-core down
[16:57:28] [INFO] received Windows console close event; shutting log-core down
[16:59:14] [INFO] received Windows console close event; shutting log-core down
[17:07:21] [INFO] received Windows console close event; shutting log-core down
[17:15:19] [INFO] received Windows console close event; shutting log-core down
[17:20:43] [INFO] received Windows console close event; shutting log-core down
[18:07:24] [INFO] received Windows console close event; shutting log-core down
[18:09:31] [INFO] received Windows console close event; shutting log-core down
[18:19:29] [INFO] received Windows console close event; shutting log-core down
[18:27:13] [INFO] received Windows console close event; shutting log-core down
[18:31:22] [INFO] received Windows console close event; shutting log-core down
[18:31:32] [INFO] received Windows console close event; shutting log-core down
[18:32:44] [INFO] received Windows console close event; shutting log-core down
[18:39:07] [INFO] received Windows console close event; shutting log-core down
[18:40:29] [INFO] received Windows console close event; shutting log-core down
[18:43:37] [INFO] received Windows console close event; shutting log-core down
[18:44:13] [INFO] received Windows console close event; shutting log-core down
[18:45:39] [INFO] received Windows console close event; shutting log-core down
[19:14:57] [INFO] received Windows console close event; shutting log-core down
[19:16:34] [INFO] received Windows console close event; shutting log-core down
[19:43:18] [INFO] received Windows console close event; shutting log-core down
[19:47:08] [INFO] received Windows console close event; shutting log-core down
[19:48:52] [INFO] received Windows console close event; shutting log-core down
[19:51:09] [INFO] received Windows console close event; shutting log-core down
[19:52:51] [INFO] received Windows console close event; shutting log-core down
[19:58:17] [INFO] received Windows console close event; shutting log-core down
[20:35:19] [INFO] received Windows console close event; shutting log-core down
[20:37:33] [INFO] received Windows console close event; shutting log-core down
[20:58:01] [INFO] received Windows console close event; shutting log-core down
[21:01:32] [INFO] received Windows console close event; shutting log-core down
[21:13:40] [INFO] received Windows console close event; shutting log-core down
[21:15:36] [INFO] received Windows console close event; shutting log-core down
[21:15:43] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:18:06] [INFO] received Windows console close event; shutting log-core down
[21:20:29] [INFO] received Windows console close event; shutting log-core down
[21:25:23] [INFO] received Windows console close event; shutting log-core down
[21:26:46] [INFO] received Windows console close event; shutting log-core down
[21:29:08] [INFO] received Windows console close event; shutting log-core down
[21:43:31] [INFO] received Windows console close event; shutting log-core down
[21:44:00] [INFO] received Windows console close event; shutting log-core down
[21:48:21] [INFO] received Windows console close event; shutting log-core down
